PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=20.3 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=179 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=268 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=362 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=487 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=581 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=701 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=794 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=888 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=981 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1101 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1195 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1314 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=1408 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=1462 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=1459 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=1466 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1463 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=1452 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=1449 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=1439 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=1436 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=1426 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1423 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=1397 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=1410 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=1400 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=1397 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=1363 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=1310 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=1259 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=1215 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=1163 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=1117 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=1066 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=1015 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=964 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=921 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=870 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=826 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=775 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=723 ms
