PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=898 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=897 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=892 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=884 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=815 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=781 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=841 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=866 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=881 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=868 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=881 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=869 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=857 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=814 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=842 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=892 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=978 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=959 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=931 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=872 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=840 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=758 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=745 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=736 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=736 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=735 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=740 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=745 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=744 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=738 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=739 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=769 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=775 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=769 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=779 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=763 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=756 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=769 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=763 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=757 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=769 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=779 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=776 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=783 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=766 ms
